tp_record_share,ke,ki,id_polizza_exp,id_titolo_invio,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,numero_polizza_cmp_delegataria,progressivo,ramo,effetto_titolo,fl_aggiorna_copertura,tipo_titolo_compagnia,tipo_titolo_share,progressivo_titolo,tipo_polizza,frazionamento,stato_share,id_titolo_exp,id_incasso_exp,dt_pag_cliente,numero_foglio_cassa,data_registrazione_fc,data_foglio_cassa,valuta_share,tipo_coass,ns_quota,tipo_premi_delega,netto_totale,diritti_totale,accessori_totale,imponibile_totale,antiracket_totale,ssn_totale,tasse_totale,lordo_totale,provvigioni_totale,provvigioni_acquisto_totale,provvigioni_acquisto_variabile,provvigioni_incasso_totale,collaboratore_1,collaboratore_2,collaboratore_3,collaboratore_4,provv_tot_c2,provv_tot_c3,provv_tot_c4,provv_acq_c2,provv_acq_c3,provv_acq_c4,provv_inc_c2,provv_inc_c3,provv_inc_c4,indicatore_incasso_subagente,fondo_mutua_totale,mezzo_pagamento_cmp,mezzo_pag_share,rischio_cmp,utente_incasso,importo_scatola_nera,id_anagrafica_exp,mandato,filename,data_elaborazione_file,numero_appendice,data_contenzioso
40,000000000496331,,0119050040473,000000000496331,0119050040473,035,4,119,0119050040473,,0,5,2009-03-07,S,Q,QZ,1,1,1,P,000000000496331,,2009-03-13,68.0,2009-03-28,2009-03-28,EUR,1,10000,Q,608.14,8.68,60.82,677.64,0.0,0.0,16.95,694.59,135.99,50.51,50.51,85.48,11991,000,091,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,CC,511,,,003070000061293,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000000567861,,0119050040546,000000000567861,0119050040546,035,4,119,0119050040546,,0,5,2009-05-03,S,Q,QZ,1,1,1,P,000000000567861,,2009-06-11,137.0,2009-06-25,2009-06-25,EUR,1,10000,Q,3159.93,55.92,316.01,3531.86,0.0,0.0,88.3,3620.16,713.09,262.43,262.43,450.66,11909,000,087,039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,CC,530,,,003070000066285,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000011863969,,0119050040930,000000011863969,0119050040930,035,4,119,0119050040930,,0,5,2017-09-20,S,Q,QZ,1,1,1,A,000000011863969,,,,,,EUR,1,10000,Q,469.34,17.76,46.9,534.0,0.0,0.0,13.37,547.37,129.4,56.79,0.0,72.61,11909,000,009,000,0.0,23.23,0.0,0.0,0.0,0.0,0.0,23.23,0.0,,0.0,,,510,,,000000005148042,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000001521791,,0119050041067,000000001521791,0119050041067,035,4,119,0119050041067,,0,5,2011-12-31,N,Q,QZ,1,1,1,P,000000001521791,,2011-12-30,335.0,2011-12-30,2011-12-30,EUR,1,10000,Q,115.08,15.76,11.51,142.35,0.0,0.0,3.57,145.92,38.57,13.92,0.0,24.65,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,507,,,003070000048485,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000002904112,,0119050041080,000000002904112,0119050041080,035,4,119,0119050041080,,0,5,2013-12-18,N,Q,QZ,1,1,1,P,000000002904112,,2013-12-31,358.0,2013-12-31,2013-12-31,EUR,1,10000,Q,41.65,4.93,4.17,50.75,0.0,0.0,1.28,52.03,13.5,5.04,0.0,8.46,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,507,,,003070000006868,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000025797737,,0119050041081,000000025797737,0119050041081,035,4,119,0119050041081,,0,5,2022-12-18,N,Q,QZ,1,1,2,A,000000025797737,,,,,,EUR,1,10000,Q,20.84,2.44,2.07,25.35,0.0,0.0,0.65,26.0,6.73,2.52,0.0,4.21,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,507,,,003070000033923,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000003014593,,0119050041175,000000003014593,0119050041175,035,4,119,0119050041175,,0,5,2014-01-26,N,Q,QZ,1,1,1,P,000000003014593,,2014-01-23,25.0,2014-01-23,2014-01-23,EUR,1,10000,Q,115.71,19.08,11.56,146.35,0.0,0.0,3.67,150.02,40.72,14.0,0.0,26.72,119,000,098,000,0.0,22.9,0.0,0.0,11.45,0.0,0.0,11.45,0.0,SOSPESO BROKER,0.0,1073741824,NN,510,,,003070000002308,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000001655026,,0119050041207,000000001655026,0119050041207,035,4,119,0119050041207,,0,5,2012-02-20,N,A,AD,1,1,1,A,000000001655026,,,,,,EUR,1,10000,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.4,-84.4,0.0,0.0,11902,000,023,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,500,,,003070000054703,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000030049561,,0119050041243,000000030049561,0119050041243,035,4,119,0119050041243,,0,5,2024-03-30,S,Q,QZ,1,1,2,P,000000030049561,,2024-03-29,173.0,2024-03-29,2024-03-29,EUR,1,10000,Q,826.23,24.63,83.67,934.53,0.0,0.0,23.38,957.91,224.06,100.09,0.0,123.97,119,000,150,000,0.0,163.78,0.0,0.0,81.89,0.0,0.0,81.89,0.0,SOSPESO BROKER,0.0,1073741824,NN,510,,,003070000007517,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000010632598,,0119050041256,000000010632598,0119050041256,035,4,119,0119050041256,,0,5,2017-03-30,S,Q,QZ,1,1,2,P,000000010632598,,2017-04-28,176.0,2017-04-28,2017-04-28,EUR,1,10000,Q,152.45,4.5,15.25,172.2,0.0,0.0,7.8,180.0,36.24,13.41,0.0,22.83,119,000,192,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,500,,,003070000048414,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
