tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_share,agenzia,numero_polizza_cmp,progressivo,tipo_polizza_share,cmp_sostituita_1_share,agenzia_sostituita_1,numero_polizza_sostituita_1,progressivo_sostituita_1,numero_applicazione_lm,libro_matricola,filename,data_elaborazione_file,mandato
22,2019010431164,2019010431164,035,130,2019010431164,0,2,,-,2019010226384,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2021010284370,2021010284370,035,130,2021010284370,0,2,,-,2019010329920,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2020010306237,2020010306237,035,130,2020010306237,0,2,,-,2019010349303,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2022010097268,2022010097268,035,114,2022010097268,0,2,,2019,2019010437733,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010311168,2023010311168,035,130,2023010311168,0,2,,-,2020010310374,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010355963,2023010355963,035,114,2023010355963,0,2,,-,2020010325518,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2024010017124,2024010017124,035,114,2024010017124,0,2,,-,2020010345817,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010318481,2022010318481,035,130,2022010318481,0,2,,-,2020010395119,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2021010558250,2021010558250,035,130,2021010558250,0,2,,-,2020010533972,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010034141,2023010034141,035,130,2023010034141,0,2,,-,2021010060063,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2022010277774,2022010277774,035,465,2022010277774,0,2,,-,2021010310584,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2022010296678,2022010296678,035,114,2022010296678,0,2,,-,2021010329329,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010334741,2022010334741,035,130,2022010334741,0,2,,-,2021010362673,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2022010332778,2022010332778,035,114,2022010332778,0,2,,-,2021010366539,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010312482,2022010312482,035,114,2022010312482,0,2,,-,2022010003504,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010226527,2023010226527,035,114,2023010226527,0,2,,-,2022010036118,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010185278,2023010185278,035,659,2023010185278,0,2,,-,2022010106022,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2022010285481,2022010285481,035,465,2022010285481,0,2,,-,2022010221391,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2022010440199,2022010440199,035,130,2022010440199,0,2,,-,2022010247336,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010324655,2023010324655,035,130,2023010324655,0,2,,-,2022010284718,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010345428,2023010345428,035,465,2023010345428,0,2,,-,2022010293098,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2023010357814,2023010357814,035,659,2023010357814,0,2,,-,2022010300733,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010342378,2023010342378,035,659,2023010342378,0,2,,-,2022010308117,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010373126,2023010373126,035,659,2023010373126,0,2,,-,2022010325074,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010374737,2023010374737,035,659,2023010374737,0,2,,-,2022010329251,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010338546,2023010338546,035,130,2023010338546,0,2,,-,2022010516860,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024016036034,2024016036034,035,130,2024016036034,0,2,,-,2023010199737,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024010169390,2024010169390,035,465,2024010169390,0,2,,-,2023010210594,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2023016003688,2023016003688,035,659,2023016003688,0,2,,-,2023010229121,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2024016097537,2024016097537,035,130,2024016097537,0,2,,-,2023010308800,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010391368,2023010391368,035,114,2023010391368,0,2,,-,2023010364708,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010458208,2023010458208,035,465,2023010458208,0,2,,-,2023010369038,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2023016003659,2023016003659,035,659,2023016003659,0,2,,-,2023010423423,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2013010445940,2013010445940,035,465,2013010445940,0,2,,-,2011010037316,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2019010400559,2019010400559,035,114,2019010400559,0,2,,-,2013010435641,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010322955,2023010322955,035,114,2023010322955,0,2,,-,2015010366766,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2016010682651,2016010682651,035,130,2016010682651,0,2,,-,2015010725918,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2016010403616,2016010403616,035,465,2016010403616,0,2,,-,2016010375582,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2017010351379,2017010351379,035,114,2017010351379,0,2,,-,2017010243979,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2020010540560,2020010540560,035,130,2020010540560,0,2,,-,2017010350634,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2022010504299,2022010504299,035,130,2022010504299,0,2,,-,2018010065426,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2019010294372,2019010294372,035,114,2019010294372,0,2,,-,2018010348800,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2019010378946,2019010378946,035,130,2019010378946,0,2,,-,2018010366084,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2019010393940,2019010393940,035,465,2019010393940,0,2,,-,2018010391747,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2023010300637,2023010300637,035,465,2023010300637,0,2,,-,2018010399233,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2021010012423,2021010012423,035,465,2021010012423,0,2,,-,2018010430486,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2020010379391,2020010379391,035,659,2020010379391,0,2,,-,2018010441316,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2019010604952,2019010604952,035,130,2019010604952,0,2,,-,2018010611991,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2019010656484,2019010656484,035,130,2019010656484,0,2,,-,2018010678378,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2022010129375,2022010129375,035,130,2022010129375,0,2,,-,2019010060446,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2019010267786,2019010267786,035,114,2019010267786,0,2,,-,2019010242675,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
