tp_record_share,id_polizza_exp,id_anagrafica_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,tipo_polizza_share,ramo_cmp,rischio_cmp,prodotto_cmp,ramo_share,cod_stato_share,cod_storno_share,cod_storno_cmp,data_annullamento,data_sospensione,effetto,scadenza_originale,scadenza_effettiva,scadenza_emesso,scadenza_incassato,frazionamento_share,durata_share,tacito_rinnovo_share,disdetta_share,giorni_mora,collaboratore_1,collaboratore_2,collaboratore_3,collaboratore_4,tipo_coass,ns_quota,cmp_delegataria,numero_polizza_delegataria,tipo_riparto_share,fl_vincolo,tipo_vincolo_cmp,scadenza_vincolo,codice_vincolo,fl_imposta,cmp_sostituita_1_ania,cmp_sostituita_1_exp,agenzia_sostituita_1,numero_polizza_sostituita_1,cmp_sostituente_ania,cmp_sostituente_exp,agenzia_sostituente,numero_polizza_sostituente,progressivo_sostituente,id_sostituente_exp,tipo_premi,tipo_premi_delega,netto_totale,diritti_totale,accessori_totale,imponibile_totale,antiracket_totale,ssn_totale,tasse_totale,lordo_totale,flag_riparto,canale_commerciale,numero_proposta_cmp,data_emissione,tipo_affare_share,libro_matricola,numero_applicazione_lm,ramo_gestione_cmp,diritti_emissione,diritti_puo,diritti_pur,polizza_lps,tipo_firma,cuc,particolarita_polizza_1,particolarita_polizza_2,filename,data_elaborazione_file,mandato,data_fine_sospensione,flag_POE
20,2023010604420,002000000040648,2023010604420,035,4,513,2023010604420,0,2,1,20,01023,10.0,AT,,,,,2023-12-19,2024-12-18,2024-12-18,2024-12-18,2024-12-18,1,1.0,S,0,15,51303,000,003,000,1,10000,,,1,0,,,,,,,,,,,,,0,,R,Q,736.03,0.0,0.0,736.04,0.0,74.44,190.58,926.62,N,,,2023-12-19,N,N,,,0.0,0.0,0.0,,,,,,20_C_4_513_20240306134318_0_P.csv,2024-02-04,1,,
20,2017010764553,000000002439567,2017010764553,035,4,848,2017010764553,0,2,1,20,01023,10.0,ST,ST,026,2020-06-26,,2018-01-02,2021-01-02,2021-01-02,2021-01-02,2021-01-02,1,1.0,S,0,15,848,000,000,000,1,10000,,,1,0,,,,,,,,2013010810981,35.0,4.0,,2020010330207,0,2020010330207,R,Q,410.37,16.65,0.0,427.03,0.84,28.72,87.54,514.57,N,,,2017-12-28,,N,,,16.65,0.0,0.0,,,,,,20_C_4_848_20240314151035_0_P.csv,2024-02-06,1,,
20,2020032392515,006330000039567,2020032392515,035,4,126,2020032392515,0,1,3,300 ,000143,13.0,ST,VA,62,2020-07-10,,2020-07-10,2021-07-10,2021-07-10,2021-07-10,,1,1.0,S,0,30,126,000,018,000,1,10000,,,1,0,,,0.0,S,23,3,126,,,,,,0,,R,Q,275.26,24.4,27.53,327.19,3.27,0.0,72.81,400.0,N,,6204973,2020-07-10,,N,,,29.83,0.0,0.0,,,,,,20_C_4_126_20240301113251_0_P.csv,2024-02-01,1,,
20,2015010734993,002910000010199,2015010734993,035,4,271,2015010734993,0,2,1,20,01023,10.0,ST,CS,013,2017-03-18,,2015-12-16,2017-03-18,2017-03-18,2017-03-18,2017-03-18,2,1.0,S,0,15,271,000,015,000,1,10000,,,1,0,,,,,,,,2015010170344,,,,,0,,R,Q,353.77,10.53,0.0,364.31,0.8,27.08,81.8,446.11,N,,,2015-12-15,,N,,,0.0,0.0,0.0,,,,,,20_C_4_271_20240301152101_0_P.csv,2024-02-02,1,,
20,2021052952570,000000001605602,2021052952570,035,4,715,2021052952570,0,1,5,504 ,000020,1.0,ST,ST,8,2021-02-19,,2021-02-06,2022-03-14,2022-03-14,2021-03-14,2021-03-14,1,1.0,S,0,15,715,000,000,000,1,10000,,,1,0,,,0.0,S,23,3,715,,35.0,4.0,715,2021052954725,0,2021052954725,R,Q,79.59,10.0,7.97,97.56,0.0,0.0,2.44,100.0,N,,6825188,2021-02-03,,N,,,0.0,0.0,0.0,,G,,,,20_C_4_715_20240314145040_0_P.csv,2024-02-05,1,,
20,2012010653604,000700000003513,2012010653604,035,4,339,2012010653604,0,2,1,20,01023,10.0,ST,ST,026,2013-10-01,,2012-10-02,2013-10-01,2013-10-01,2013-10-01,2013-10-01,1,1.0,S,0,15,339,000,099,000,1,10000,,,1,0,,,,,,,,,35.0,4.0,,2013010629741,0,2013010629741,R,Q,377.51,0.0,0.0,377.52,0.0,33.54,70.51,448.03,N,,,2012-10-01,,N,,,0.0,0.0,0.0,,,,,,20_C_4_339_20240306133714_0_P.csv,2024-02-03,1,,
20,2017103066395,000190000013791,2017103066395,035,4,244,2017103066395,0,1,10,140,000145,8.0,ST,NR,10,2018-02-10,,2018-01-06,2018-02-10,2018-02-10,2018-02-10,2018-02-10,0,0.0,N,0,15,244,000,028,000,1,10000,,,1,0,,,0.0,S,,,,,,,,,0,,R,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,,4705700,2017-12-28,,N,,,0.0,0.0,0.0,,,,,,20_C_4_244_20240301150451_0_P.csv,2024-02-02,1,,
20,2011010188348,000000001519220,2011010188348,035,4,640,2011010188348,0,2,1,20,01023,10.0,ST,ST,026,2017-09-18,,2011-04-16,2018-04-16,2018-04-16,2018-04-16,2018-04-16,1,1.0,S,0,15,640,000,012,000,1,10000,,,1,0,,,,,,,,2008010182228,35.0,4.0,,2017010574171,0,2017010574171,R,Q,244.7,0.0,0.0,244.7,0.0,25.69,64.84,309.54,N,,,2011-04-05,,N,,,0.0,0.0,0.0,,,,,,20_C_4_640_20240314144935_0_P.csv,2024-02-05,1,,
20,2017010129412,000000001486691,2017010129412,035,4,636,2017010129412,0,2,1,20,01023,10.0,ST,ST,026,2018-03-05,,2017-03-05,2018-03-05,2018-03-05,2018-03-05,2018-03-05,1,1.0,S,0,15,63604,000,004,000,1,10000,,,1,0,,,,,,,,2014010145601,35.0,4.0,,2018010129066,0,2018010129066,R,Q,409.71,0.0,0.0,409.72,0.0,35.85,94.07,503.79,N,,,2017-03-03,,N,,,0.0,0.0,0.0,,,,,,20_C_4_636_20240314144430_0_P.csv,2024-02-05,1,,
20,2020010270918,002020000000259,2020010270918,035,4,501,2020010270918,0,2,1,20,01023,10.0,AT,,,,,2020-06-07,2024-06-07,2024-06-07,2024-06-07,2024-06-07,1,1.0,S,0,15,501,000,004,000,1,10000,,,1,0,,,,,,,,2019010323176,,,,,0,,R,Q,253.3,0.0,0.0,253.31,0.0,24.66,64.08,317.39,N,,,2020-06-03,,N,,,0.0,0.0,0.0,,,,,,20_C_4_501_20240306134043_0_P.csv,2024-02-04,1,,
